Week,Team 1,Team 2,Team 1 Rank,Team 2 Rank,Spread
12,ARI,LAR,30,15,15
12,ATL,NO,22,21,1
12,CIN,PIT,13,17,-4
12,DAL,WAS,2,29,-27
12,DEN,CLE,12,9,3
12,DET,GB,6,14,-8
12,HOU,JAX,11,10,1
12,IND,TB,16,20,-4
12,LAC,BAL,25,3,22
12,LV,KC,28,7,21
12,MIN,CHI,18,23,-5
12,NYG,NE,27,31,-4
12,NYJ,MIA,26,5,21
12,PHI,BUF,4,8,-4
12,SEA,SF,19,1,18
12,TEN,CAR,24,32,-8
13,BAL,BYE,3,#N/A,#N/A
13,BUF,BYE,8,#N/A,#N/A
13,CHI,BYE,23,#N/A,#N/A
13,DAL,SEA,2,19,-17
13,GB,KC,14,7,7
13,HOU,DEN,11,12,-1
13,JAX,CIN,10,13,-3
13,LAR,CLE,15,9,6
13,LV,BYE,28,#N/A,#N/A
13,MIN,BYE,18,#N/A,#N/A
13,NE,LAC,31,25,6
13,NO,DET,21,6,15
13,NYG,BYE,27,#N/A,#N/A
13,NYJ,ATL,26,22,4
13,PHI,SF,4,1,3
13,PIT,ARI,17,30,-13
13,TB,CAR,20,32,-12
13,TEN,IND,24,16,8
13,WAS,MIA,29,5,24
14,ARI,BYE,30,#N/A,#N/A
14,ATL,TB,22,20,2
14,BAL,LAR,3,15,-12
14,CHI,DET,23,6,17
14,CIN,IND,13,16,-3
14,CLE,JAX,9,10,-1
14,DAL,PHI,2,4,-2
14,KC,BUF,7,8,-1
14,LAC,DEN,25,12,13
14,LV,MIN,28,18,10
14,MIA,TEN,5,24,-19
14,NO,CAR,21,32,-11
14,NYG,GB,27,14,13
14,NYJ,HOU,26,11,15
14,PIT,NE,17,31,-14
14,SF,SEA,1,19,-18
14,WAS,BYE,29,#N/A,#N/A
15,ARI,SF,30,1,29
15,BUF,DAL,8,2,6
15,CAR,ATL,32,22,10
15,CIN,MIN,13,18,-5
15,CLE,CHI,9,23,-14
15,DET,DEN,6,12,-6
15,GB,TB,14,20,-6
15,IND,PIT,16,17,-1
15,JAX,BAL,10,3,7
15,LAR,WAS,15,29,-14
15,LV,LAC,28,25,3
15,MIA,NYJ,5,26,-21
15,NE,KC,31,7,24
15,NO,NYG,21,27,-6
15,SEA,PHI,19,4,15
15,TEN,HOU,24,11,13
16,ATL,IND,22,16,6
16,CAR,GB,32,14,18
16,CHI,ARI,23,30,-7
16,DEN,NE,12,31,-19
16,HOU,CLE,11,9,2
16,KC,LV,7,28,-21
16,LAC,BUF,25,8,17
16,LAR,NO,15,21,-6
16,MIA,DAL,5,2,3
16,MIN,DET,18,6,12
16,NYJ,WAS,26,29,-3
16,PHI,NYG,4,27,-23
16,PIT,CIN,17,13,4
16,SF,BAL,1,3,-2
16,TB,JAX,20,10,10
16,TEN,SEA,24,19,5
17,BAL,MIA,3,5,-2
17,BUF,NE,8,31,-23
17,CHI,ATL,23,22,1
17,CLE,NYJ,9,26,-17
17,DAL,DET,2,6,-4
17,DEN,LAC,12,25,-13
17,HOU,TEN,11,24,-13
17,IND,LV,16,28,-12
17,JAX,CAR,10,32,-22
17,KC,CIN,7,13,-6
17,MIN,GB,18,14,4
17,NYG,LAR,27,15,12
17,PHI,ARI,4,30,-26
17,SEA,PIT,19,17,2
17,TB,NO,20,21,-1
17,WAS,SF,29,1,28
18,ARI,SEA,30,19,11
18,BAL,PIT,3,17,-14
18,CAR,TB,32,20,12
18,CIN,CLE,13,9,4
18,DET,MIN,6,18,-12
18,GB,CHI,14,23,-9
18,IND,HOU,16,11,5
18,LAC,KC,25,7,18
18,LV,DEN,28,12,16
18,MIA,BUF,5,8,-3
18,NE,NYJ,31,26,5
18,NO,ATL,21,22,-1
18,NYG,PHI,27,4,23
18,SF,LAR,1,15,-14
18,TEN,JAX,24,10,14
18,WAS,DAL,29,2,27
